Disease,Medicine_Name,Risk_Factors,Precautions_x,Descriptions,Symptoms
adhd,['no medicine available (consult doctor)'],"['Exposure to environmental toxins, family history, drug use, alcohol use or smoking during pregnancy']","['protein-rich breakfast, walk to school if possible, have a quiet place to do homework.']",No Description found for this disease,No Symptoms found for this disease
acne,['Isoniazid (antibiotics)'],"['Being teenager, Hormonal changes, Friction or pressure on your skin, Stress, certain medicines.']","['Bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products\n']","Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.","['skin_rash', 'pus_filled_pimples', 'blackheads', 'scurring']"
adenomyosis,['no medicine available (consult doctor)'],"['Prior uterine surgery, such as a C-section or fibroid removal, Childbirth, Middle age']",['No precaution'],No Description found for this disease,No Symptoms found for this disease
alzheimer's,['cholinesterase inhibitors'],"['Lack of exercise, Obesity, Smoking, High BP, High cholesterol, Poorly controlled diabetes, family history']","['Stopping smoking, keeping alcohol to a minimum, eating a healthy, balanced diet, exercising']",No Description found for this disease,No Symptoms found for this disease
amnesia,['no medicine available (consult doctor)'],"['Brain surgery, head injury or trauma, Stroke, Alcohol abuse, Seizures']","['Avoid heavy use of alcohol, drugs, Stay mentally active, exercise, use protective gear while playing']",No Description found for this disease,No Symptoms found for this disease
anemia,['Ferrous sulfate'],"['Family history, A diet lacking in certain vitamins and minerals, Intestinal disorders, Pregnancy.']","['consuming iron-rich foods such as fish, poultry, eggs, meat, peas, beans, lentils, and potatoes.']",No Description found for this disease,No Symptoms found for this disease
ankylosing spondylitis,"['steroid', 'immunosuppressive drug']","['Late adolescence or early adulthood, being man, family history', 'Late adolescence or early adulthood, being man, family history']","['Avoid Alcohol, Get Plenty of Calcium and Vitamin D, Practice Good Posture, exercise', 'Avoid Alcohol, Get Plenty of Calcium and Vitamin D, Practice Good Posture, exercise']",No Description found for this disease,No Symptoms found for this disease
anthrax,['Isoniazid (antibiotics)'],"['Handle animal skins, furs, Work with anthrax in a laboratory, Inject illegal drugs.']","['Avoid touching a contaminated surface, avoid contact of ill person, prevent animal bites.']",No Description found for this disease,No Symptoms found for this disease
anxiety disorders,"['Selective serotonin reuptake inhibitors (SSRIs)', 'Sedative']","['Trauma, Stress due to an illness, Other mental health disorders, family history', 'Trauma, Stress due to an illness, Other mental health disorders, family history']","['Avoid coffee, tea, cola and chocolate, xercise daily and eat a healthy, balanced diet.', 'Avoid coffee, tea, cola and chocolate, xercise daily and eat a healthy, balanced diet.']",No Description found for this disease,No Symptoms found for this disease
arthritis,['Steroid'],"['Family history, Previous joint injury, older age, being woman, obesity']","['Exercise, use hot and cold therapy, try acupuncture, massage\n']","Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.","['muscle_weakness', 'stiff_neck', 'swelling_joints', 'movement_stiffness', 'painful_walking']"
